subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_340:0000338	Bacteria pustule	skos:narrowMatch	TO:0000315	bacterial disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0002640	Bacterial blight (X. vignicola) severity	skos:narrowMatch	TO:0000315	bacterial disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000377	Blackeye cowpea mosaic virus	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000323	Blackeye cowpea mosaic virus severity	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000422	Cercospora	skos:narrowMatch	TO:0002702	cercospora leaf spot resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000296	Cowpea aphid-borne mosaic virus severity	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000629	Diabrotica	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000644	Flower thrip damage	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000428	Foliar thrip damage	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000380	Fusarium wilt Race 3 damage	skos:narrowMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
